id,source,db_answer,db_aime_answer,csv_answer,csv_aime_answer
9838,HMMT February 2016 Guts #27,\frac{56\pi\sqrt{3}}{9},68,\frac{56\pi\sqrt{3}}{9},65
9683,HMMT February 2025 Guts #30,\frac{7\sqrt{30}}{60},97,\frac{7}{2\sqrt{30}},37
9714,HMMT February 2017 Geometry #9,\frac{21\sqrt{15}}{4},40,\frac{21\sqrt{15}}{4},36
10028,HMMT February 2014 Algebra #7,101,101,\frac{5151}{50},201
7606,SMT 2013 Geometry #10,\frac{5\sqrt{1023}}{4},32,\frac{5\sqrt{1023}}{4},28
10011,HMMT February 2024 Guts #22,36,36,\frac{49}{36},85
8401,PUMaC 2016 Geometry B #6,9,9,14,14
8378,PUMaC 2008 Team #5,10\sqrt{6},16,10\sqrt{6},70
8380,PUMaC 2008 Team #7,4\pi + 8,12,4\pi + 8,20
8402,PUMaC 2016 Geometry B #7,421,421,9,9
8403,PUMaC 2016 Geometry B #8,175,175,421,421
8459,PUMaC 2014 Algebra B #6,1685,685,34,34
8465,PUMaC 2014 Combinatorics B #5,19,19,7921,921
8499,PUMaC 2013 Combinatorics A #1,12,12,24,24
8553,PUMaC 2013 Team #12,2\sqrt{13},15,2\sqrt{13},26
8565,PUMaC 2010 Algebra A #8,22,22,28,28
8568,PUMaC 2010 Combinatorics B #4,120,120,32,32
8569,PUMaC 2010 Combinatorics A #4,32,32,18,18
7612,SMT 2013 Algebra #6,\frac{1+\sqrt{13}}{2},16,\frac{1+\sqrt{13}}{2},15
7624,SMT 2013 Team #8,\frac{\sqrt{33} - 3}{3},39,\frac{\sqrt{33}-3}{3},6
7625,SMT 2013 Team #9,\frac{14951}{150},101,\frac{14951}{150},771
7652,SMT 2012 Geometry #3,\frac{\sqrt{3}}{2},6,\frac{\sqrt{3}}{2},5
8048,SMT 2020 Geometry #7,\frac{20\sqrt{14}}{9},43,\frac{20\sqrt{14}}{9},34
7943,SMT 2023 Geometry #9,\frac{7+3\sqrt{5}}{16},5,\frac{7+3\sqrt{5}}{16},26
7957,SMT 2022 Algebra #2,\tfrac{1+\sqrt{8089}}{2},92,\frac{1+\sqrt{8089}}{2},90
7942,SMT 2023 Geometry #8,\frac{3+3\sqrt{129}}{16},151,\frac{3+3\sqrt{129}}{16},148
8043,SMT 2020 Geometry #2,4,4,1,1
7998,SMT 2022 Geometry #4,\tfrac{225\sqrt{2}}{8},235,\frac{225\sqrt{2}}{8},233
