id,source,db_answer,csv_answer
8402,PUMaC 2016 Geometry B #7,421,9
8403,PUMaC 2016 Geometry B #8,175,421
8459,PUMaC 2014 Algebra B #6,1685,34
8465,PUMaC 2014 Combinatorics B #5,19,7921
8499,PUMaC 2013 Combinatorics A #1,12,24
8516,PUMaC 2013 Geometry A #5,\tfrac{1}{2},1 + 2
8565,PUMaC 2010 Algebra A #8,22,28
8568,PUMaC 2010 Combinatorics B #4,120,32
8569,PUMaC 2010 Combinatorics A #4,32,18
10793,HMMT February 2022 Combinatorics #1,|A \cup B \cup C| - 104,10
10798,HMMT February 2022 Combinatorics #6,108,1390
10802,HMMT February 2022 Combinatorics #10,1,1000000000004
10809,HMMT February 2022 Geometry #7,2,16902
10812,HMMT February 2022 Geometry #10,AC \cap BD,103360
10874,HMMT February 2018 Combinatorics #2,"100,110,11","100, 110, 11"
10876,HMMT February 2018 Combinatorics #4,15,2 \cdot \binom{30}{15} = 310235040
10884,HMMT February 2018 Geometry #2,9,"(7, 9)"
10886,HMMT February 2018 Geometry #4,\frac{\sqrt3}6,\frac{\sqrt{3}}{6}
10888,HMMT February 2018 Geometry #6,1/2,"(8, 2)"
10948,HMMT February 2020 Combinatorics #6,\frac{3^{1000}-1}{4\cdot3^{999}},\frac{3-3^{-999}}{4}
10946,HMMT February 2020 Combinatorics #4,576,20736
10956,HMMT February 2020 Geometry #4,\frac{3 + \sqrt{5}}{2},\frac{3+\sqrt{5}}{2}
10959,HMMT February 2020 Geometry #7,\sqrt{48}x,\frac{96\sqrt{10}}{13}
10961,HMMT February 2020 Geometry #9,2\sqrt{k_ak_b+k_ak_c+k_bk_c},294
9896,HMMT February 2023 Combinatorics #9,\frac{1}{\binom{2n}{n}} (-\frac 12 \binom{2n}{n}  + 2^{2n-1}),\frac{2^{100}}{\binom{100}{50}} - 1
9588,HMMT February 2019 Geometry #5,\frac{1+\sqrt{2}}{2},\frac{\sqrt{2}+1}{2} \text{ OR } \frac{\sqrt{2}-1}{2}
7644,SMT 2012 Algebra #2,"1,3,5,7","1, 3, 5, 7"
9642,HMMT February 2025 Geometry #9,\boxed {14+4\sqrt{37}},14 + 4\sqrt{37}
9670,HMMT February 2025 Guts #17,\frac{-19}{10},-\frac{19}{10}
7646,SMT 2012 Algebra #4,"(1,1,1),(1,3,3),(3,1,3),(3,3,1)","(1, 1, 1), (1, 3, 3), (3, 1, 3), (3, 3, 1)"
9683,HMMT February 2025 Guts #30,\frac{7\sqrt{30}}{60},\frac{7}{2\sqrt{30}}
9715,HMMT February 2017 Geometry #10,\frac{21}{22}.,\frac{21}{22}
9783,HMMT February 2016 Algebra #2,"n=1,2,4","1,2,4"
8047,SMT 2020 Geometry #6,"(8,7)","(8, 7)"
10028,HMMT February 2014 Algebra #7,101,\frac{5151}{50}
10142,HMMT February 2013 Guts #29,2012,\binom{4025}{2012}
10078,HMMT February 2014 Guts #27,400,5530
10125,HMMT February 2013 Guts #12,10,202
10127,HMMT February 2013 Guts #14,9,\frac{7}{9}
10167,HMMT February 2012 Algebra #8,4,84
10148,HMMT February 2013 Guts #35,1,614.519
10160,HMMT February 2012 Algebra #1,1,\sqrt{4^{2012} + 1}
10164,HMMT February 2012 Algebra #5,485364,"\left(\frac{\sqrt{30}}{3}, \frac{\sqrt{30}}{4}, \frac{2\sqrt{30}}{5}\right), \left(\frac{\sqrt{30}}{3}, \frac{\sqrt{30}}{2}, \frac{\sqrt{30}}{5}\right)"
9667,HMMT February 2025 Guts #14,5+\sqrt{5},5 + \sqrt{5}
9809,HMMT February 2016 Geometry #8,2+4ln2,2 + 4\ln(2)
9810,HMMT February 2016 Geometry #9,\frac{28\sqrt{69}}{5},\frac{28}{5}\sqrt{69}
10038,HMMT February 2014 Combinatorics #7,720,2048
10049,HMMT February 2014 Geometry #8,\frac{1}{2} *GA * GY * \sin{x},\frac{600}{73}
10068,HMMT February 2014 Guts #17,11,1007
7898,SMT 2023 Algebra #1,\tfrac{9-  \sqrt{17}}{2},\frac{9-\sqrt{17}}{2}
7913,SMT 2023 Algebra #5,\tfrac{13}{2},\frac{13}{2}
7914,SMT 2023 Algebra #6,\tfrac{5\pi}{36},\frac{5\pi}{36}
