id,source,csv_answer,csv_aime_answer
10004,HMMT February 2024 Guts #15,29,29
10075,HMMT February 2014 Guts #24,1267,267
8517,PUMaC 2013 Geometry A #6,15,15
8543,PUMaC 2013 Team #2,2002,2
8573,PUMaC 2010 Combinatorics A #8,3,3
10221,HMMT February 2010 Geometry #1,\frac{3\pi}{7},10
10143,HMMT February 2013 Guts #30,1006,6
8517,PUMaC 2013 Geometry A #6,15,15
8543,PUMaC 2013 Team #2,2002,2
8573,PUMaC 2010 Combinatorics A #8,3,3
10062,HMMT February 2014 Guts #11,\frac{11}{4},15
9949,HMMT February 2023 Guts #32,\frac{\sqrt{285}}{38},323
9979,HMMT February 2024 Geometry #10,\frac{9\sqrt{410}}{5},419
10136,HMMT February 2013 Guts #23,\frac{19\sqrt{3}}{2},21
10170,HMMT February 2012 Geometry #1,\frac{\sqrt{17}}{3},20
10880,HMMT February 2018 Combinatorics #8,\frac{151}{105},256
9844,HMMT February 2016 Guts #33,1984,984
9845,HMMT February 2016 Guts #34,1416528,528
9847,HMMT February 2016 Guts #36,49,49
9930,HMMT February 2023 Guts #13,305,305
9931,HMMT February 2023 Guts #14,67,67
9888,HMMT February 2023 Combinatorics #1,\frac{99}{101},200
9938,HMMT February 2023 Guts #21,\frac{426}{5},431
9904,HMMT February 2023 Geometry #7,\frac{9\sqrt{21}}{7},35
9906,HMMT February 2023 Geometry #9,\frac{20}{3},23
9948,HMMT February 2023 Guts #31,1994,994
9934,HMMT February 2023 Guts #17,\sqrt{68} = 2\sqrt{17},85
10224,HMMT February 2010 Geometry #4,\sqrt{\frac{216}{145}},361
9929,HMMT February 2023 Guts #12,318,318
9936,HMMT February 2023 Guts #19,1000,0
9937,HMMT February 2023 Guts #20,25517,517
9939,HMMT February 2023 Guts #22,\frac{35}{16},51
9942,HMMT February 2023 Guts #25,\frac{79}{20},99
9944,HMMT February 2023 Guts #27,34,34
9946,HMMT February 2023 Guts #29,144,144
9947,HMMT February 2023 Guts #30,\frac{926}{945},871
9966,HMMT February 2024 Combinatorics #7,\frac{32}{7},39
9968,HMMT February 2024 Combinatorics #9,146,146
9969,HMMT February 2024 Combinatorics #10,184320,320
9998,HMMT February 2024 Guts #9,1872,872
9995,HMMT February 2024 Guts #6,\frac{\sqrt{7}}{12},19
10003,HMMT February 2024 Guts #14,111888,888
10006,HMMT February 2024 Guts #17,\frac{181}{361},542
10007,HMMT February 2024 Guts #18,\frac{96}{595},691
10009,HMMT February 2024 Guts #20,855,855
10010,HMMT February 2024 Guts #21,1831830,830
10012,HMMT February 2024 Guts #23,\frac{\sqrt{39}}{4},43
10015,HMMT February 2024 Guts #26,-2445,445
10016,HMMT February 2024 Guts #27,\frac{467}{8},475
10017,HMMT February 2024 Guts #28,1200974,974
10018,HMMT February 2024 Guts #29,12,12
10033,HMMT February 2014 Combinatorics #2,7560,560
10040,HMMT February 2014 Combinatorics #9,6098,98
10174,HMMT February 2012 Geometry #5,\frac{3}{4},7
10048,HMMT February 2014 Geometry #7,\frac{65}{12},77
10050,HMMT February 2014 Geometry #9,\frac{92}{61},153
10225,HMMT February 2010 Geometry #5,2,2
10060,HMMT February 2014 Guts #9,\frac{5\sqrt{6}}{3},18
10054,HMMT February 2014 Guts #3,\frac{\pi\sqrt{3}}{12},15
10067,HMMT February 2014 Guts #16,\frac{72 + 32\sqrt{2}}{7},39
10070,HMMT February 2014 Guts #19,\frac{256}{7},263
10076,HMMT February 2014 Guts #25,\frac{846\sqrt{3}}{49},895
10080,HMMT February 2014 Guts #29,5,5
10118,HMMT February 2013 Guts #5,4,4
10123,HMMT February 2013 Guts #10,\sqrt{3},3
10157,HMMT February 2013 Geometry #8,\frac{42}{13},55
10135,HMMT February 2013 Guts #22,\frac{1}{4023},27
