source,answer,source_file
HMMT February 2008 Algebra #1,\frac{1}{6},HMMT_February_2008_Algebra_Solutions.pdf
HMMT February 2008 Algebra #2,242,HMMT_February_2008_Algebra_Solutions.pdf
HMMT February 2008 Algebra #3,"1, 2",HMMT_February_2008_Algebra_Solutions.pdf
HMMT February 2008 Algebra #4,-49,HMMT_February_2008_Algebra_Solutions.pdf
HMMT February 2008 Algebra #5,899,HMMT_February_2008_Algebra_Solutions.pdf
HMMT February 2008 Algebra #6,8,HMMT_February_2008_Algebra_Solutions.pdf
HMMT February 2008 Algebra #7,\frac{4}{9},HMMT_February_2008_Algebra_Solutions.pdf
HMMT February 2008 Algebra #8,25°,HMMT_February_2008_Algebra_Solutions.pdf
HMMT February 2008 Algebra #9,\frac{1}{4},HMMT_February_2008_Algebra_Solutions.pdf
HMMT February 2008 Algebra #10,\sqrt{5},HMMT_February_2008_Algebra_Solutions.pdf
HMMT February 2008 Combinatorics #1,60,HMMT_February_2008_Combinatorics_Solutions.pdf
HMMT February 2008 Combinatorics #2,\frac{2009}{2},HMMT_February_2008_Combinatorics_Solutions.pdf
HMMT February 2008 Combinatorics #3,100800,HMMT_February_2008_Combinatorics_Solutions.pdf
HMMT February 2008 Combinatorics #4,10201,HMMT_February_2008_Combinatorics_Solutions.pdf
HMMT February 2008 Combinatorics #5,128,HMMT_February_2008_Combinatorics_Solutions.pdf
HMMT February 2008 Combinatorics #6,\frac{2}{21},HMMT_February_2008_Combinatorics_Solutions.pdf
HMMT February 2008 Combinatorics #7,323,HMMT_February_2008_Combinatorics_Solutions.pdf
HMMT February 2008 Combinatorics #8,2025,HMMT_February_2008_Combinatorics_Solutions.pdf
HMMT February 2008 Combinatorics #9,\frac{1}{4} + \frac{3}{4 \cdot 5^{2008}},HMMT_February_2008_Combinatorics_Solutions.pdf
HMMT February 2008 Combinatorics #10,1540,HMMT_February_2008_Combinatorics_Solutions.pdf
HMMT February 2008 Geometry #1,5,HMMT_February_2008_Geometry_Solutions.pdf
HMMT February 2008 Geometry #2,3,HMMT_February_2008_Geometry_Solutions.pdf
HMMT February 2008 Geometry #3,\pi - 2,HMMT_February_2008_Geometry_Solutions.pdf
HMMT February 2008 Geometry #4,108,HMMT_February_2008_Geometry_Solutions.pdf
HMMT February 2008 Geometry #5,81^{\circ},HMMT_February_2008_Geometry_Solutions.pdf
HMMT February 2008 Geometry #6,\sqrt{17},HMMT_February_2008_Geometry_Solutions.pdf
HMMT February 2008 Geometry #7,8,HMMT_February_2008_Geometry_Solutions.pdf
HMMT February 2008 Geometry #8,\sqrt{\frac{28}{3}} - 1,HMMT_February_2008_Geometry_Solutions.pdf
HMMT February 2008 Geometry #9,\frac{75}{64},HMMT_February_2008_Geometry_Solutions.pdf
HMMT February 2008 Geometry #10,2014024,HMMT_February_2008_Geometry_Solutions.pdf
HMMT February 2008 Guts #1,"(4, -2), \left(\frac{5}{2}, -5\right)",HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #2,\frac{25}{8},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #3,2 \cdot 3^{2008},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #4,"(-1, 1)",HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #5,\frac{416}{729},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #6,297,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #7,2007 + \frac{\pi}{2},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #8,1920,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #9,\frac{\pi}{4-\pi},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #10,6,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #11,\frac{2007}{2008},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #12,\frac{1}{3},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #13,2008! - 1,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #14,\frac{3}{8},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #15,\frac{5}{21},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #16,5\sqrt{2} - 3,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #17,\frac{1}{2^{4016}},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #18,\frac{\sqrt{13}}{2},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #19,\frac{1}{6},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #20,21,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #21,\frac{144}{49},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #22,335,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #23,10,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #24,\frac{9}{10},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #25,35,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #26,\frac{7}{8},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #27,7,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #28,\frac{\sqrt{2}}{3},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #29,\frac{11}{65},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #30,40,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #31,254,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #32,\frac{225\sqrt{11}}{88},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #33,\frac{6}{5},HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2008 Guts #35,212,HMMT_February_2008_Guts_Solutions.pdf
HMMT February 2009 Algebra #1,47,HMMT_February_2009_Algebra_Solutions.pdf
HMMT February 2009 Algebra #2,1004,HMMT_February_2009_Algebra_Solutions.pdf
HMMT February 2009 Algebra #3,20,HMMT_February_2009_Algebra_Solutions.pdf
HMMT February 2009 Algebra #4,-6,HMMT_February_2009_Algebra_Solutions.pdf
HMMT February 2009 Algebra #5,-2,HMMT_February_2009_Algebra_Solutions.pdf
HMMT February 2009 Algebra #6,4,HMMT_February_2009_Algebra_Solutions.pdf
HMMT February 2009 Algebra #7,x^{9900}\left(\frac{1+x^{100}}{2}\right)^2,HMMT_February_2009_Algebra_Solutions.pdf
HMMT February 2009 Algebra #8,20,HMMT_February_2009_Algebra_Solutions.pdf
HMMT February 2009 Algebra #9,8,HMMT_February_2009_Algebra_Solutions.pdf
HMMT February 2009 Algebra #10,"\left[\frac{\sqrt{3}}{3}, 1\right]",HMMT_February_2009_Algebra_Solutions.pdf
HMMT February 2009 Combinatorics #1,128,HMMT_February_2009_Combinatorics_Solutions.pdf
HMMT February 2009 Combinatorics #2,\frac{52}{3},HMMT_February_2009_Combinatorics_Solutions.pdf
HMMT February 2009 Combinatorics #3,361,HMMT_February_2009_Combinatorics_Solutions.pdf
HMMT February 2009 Combinatorics #4,196,HMMT_February_2009_Combinatorics_Solutions.pdf
HMMT February 2009 Combinatorics #5,\frac{1}{45},HMMT_February_2009_Combinatorics_Solutions.pdf
HMMT February 2009 Combinatorics #6,116,HMMT_February_2009_Combinatorics_Solutions.pdf
HMMT February 2009 Combinatorics #7,\frac{147}{2},HMMT_February_2009_Combinatorics_Solutions.pdf
HMMT February 2009 Combinatorics #8,2040,HMMT_February_2009_Combinatorics_Solutions.pdf
HMMT February 2009 Combinatorics #9,2448,HMMT_February_2009_Combinatorics_Solutions.pdf
HMMT February 2009 Combinatorics #10,3^n - (n + 1) \cdot 2^n + n(n + 1)/2,HMMT_February_2009_Combinatorics_Solutions.pdf
HMMT February 2009 Geometry #1,\frac{55}{2},HMMT_February_2009_Geometry_Solutions.pdf
HMMT February 2009 Geometry #2,\frac{2\sqrt{3}}{3},HMMT_February_2009_Geometry_Solutions.pdf
HMMT February 2009 Geometry #3,\frac{3}{2},HMMT_February_2009_Geometry_Solutions.pdf
HMMT February 2009 Geometry #4,\frac{1+\sqrt{5}}{2},HMMT_February_2009_Geometry_Solutions.pdf
HMMT February 2009 Geometry #5,168\pi,HMMT_February_2009_Geometry_Solutions.pdf
HMMT February 2009 Geometry #6,1 + 5\sqrt{2} + \sqrt{65},HMMT_February_2009_Geometry_Solutions.pdf
HMMT February 2009 Geometry #7,\frac{6\sqrt{37}}{5},HMMT_February_2009_Geometry_Solutions.pdf
HMMT February 2009 Geometry #8,208,HMMT_February_2009_Geometry_Solutions.pdf
HMMT February 2009 Geometry #9,14,HMMT_February_2009_Geometry_Solutions.pdf
HMMT February 2009 Geometry #10,9,HMMT_February_2009_Geometry_Solutions.pdf
HMMT February 2009 Guts #1,41230,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #2,\frac{5}{8},HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #3,"(0, 0) \text{ and } (1, 1)",HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #4,1 + i,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #5,6,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #6,1,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #7,120,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #8,\log_{2008} 2009,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #9,30,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #10,\frac{2a}{5} + 1,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #11,\frac{1}{3},HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #12,376,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #13,630,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #14,2394,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #15,4950,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #16,n2^{n-2},HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #17,682,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #18,7,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #19,6,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #20,4018,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #21,\frac{4036082}{4036081},HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #22,3,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #23,12 - 4\sqrt{2},HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #24,\frac{2 \cdot 2^n + (-1)^n}{3},HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #25,\frac{3}{2},HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #26,2009,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #27,2,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #28,14,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #29,139,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #30,17,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #31,\frac{5^n - 3^n}{2},HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #32,56,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #33,\binom{m+3}{3}^3,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #34,12679605,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #35,.57196,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2009 Guts #36,13023,HMMT_February_2009_Guts_Solutions.pdf
HMMT February 2010 Algebra #1,\frac{3+\sqrt{17}}{2},HMMT_February_2010_Algebra_Solutions.pdf
HMMT February 2010 Algebra #2,"(5, 21, 421)",HMMT_February_2010_Algebra_Solutions.pdf
HMMT February 2010 Algebra #3,1092,HMMT_February_2010_Algebra_Solutions.pdf
HMMT February 2010 Algebra #4,"1, -1, i, -i",HMMT_February_2010_Algebra_Solutions.pdf
HMMT February 2010 Algebra #5,-90,HMMT_February_2010_Algebra_Solutions.pdf
HMMT February 2010 Algebra #6,1005,HMMT_February_2010_Algebra_Solutions.pdf
HMMT February 2010 Algebra #7,-5892,HMMT_February_2010_Algebra_Solutions.pdf
HMMT February 2010 Algebra #8,714,HMMT_February_2010_Algebra_Solutions.pdf
HMMT February 2010 Algebra #9,2,HMMT_February_2010_Algebra_Solutions.pdf
HMMT February 2010 Algebra #10,"(3, -24)",HMMT_February_2010_Algebra_Solutions.pdf
HMMT February 2010 Combinatorics #1,180,HMMT_February_2010_Combinatorics_Solutions.pdf
HMMT February 2010 Combinatorics #2,39,HMMT_February_2010_Combinatorics_Solutions.pdf
HMMT February 2010 Combinatorics #3,4^{2010} - 2^{2010},HMMT_February_2010_Combinatorics_Solutions.pdf
HMMT February 2010 Combinatorics #4,3384,HMMT_February_2010_Combinatorics_Solutions.pdf
HMMT February 2010 Combinatorics #5,20503,HMMT_February_2010_Combinatorics_Solutions.pdf
HMMT February 2010 Combinatorics #6,\binom{4020}{1005}^2,HMMT_February_2010_Combinatorics_Solutions.pdf
HMMT February 2010 Combinatorics #7,\frac{1793}{128},HMMT_February_2010_Combinatorics_Solutions.pdf
