competition,year,round,type,division,category,display_name,source_url,pdf_path,md_path,tex_path,num_pages
HMMT February,2025,Algebra,problems,,,HMMT February 2025 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2025_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2025_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2025_Algebra_Problems.tex.zip,1
HMMT February,2025,Algebra,solutions,,,HMMT February 2025 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2025_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2025_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2025_Algebra_Solutions.tex.zip,8
HMMT February,2025,Combinatorics,problems,,,HMMT February 2025 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/comb/problems.pdf,hmmt_pdfs/HMMT_February_2025_Combinatorics_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2025_Combinatorics_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2025_Combinatorics_Problems.tex.zip,1
HMMT February,2025,Combinatorics,solutions,,,HMMT February 2025 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/comb/solutions.pdf,hmmt_pdfs/HMMT_February_2025_Combinatorics_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2025_Combinatorics_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2025_Combinatorics_Solutions.tex.zip,7
HMMT February,2025,Geometry,problems,,,HMMT February 2025 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/geo/problems.pdf,hmmt_pdfs/HMMT_February_2025_Geometry_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2025_Geometry_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2025_Geometry_Problems.tex.zip,1
HMMT February,2025,Geometry,solutions,,,HMMT February 2025 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/geo/solutions.pdf,hmmt_pdfs/HMMT_February_2025_Geometry_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2025_Geometry_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2025_Geometry_Solutions.tex.zip,10
HMMT February,2025,Guts,problems,,,HMMT February 2025 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2025_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2025_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2025_Guts_Problems.tex.zip,6
HMMT February,2025,Guts,solutions,,,HMMT February 2025 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2025_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2025_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2025_Guts_Solutions.tex.zip,22
HMMT February,2025,Team,problems,,,HMMT February 2025 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/team/problems.pdf,hmmt_pdfs/HMMT_February_2025_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2025_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2025_Team_Problems.tex.zip,1
HMMT February,2025,Team,solutions,,,HMMT February 2025 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/team/solutions.pdf,hmmt_pdfs/HMMT_February_2025_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2025_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2025_Team_Solutions.tex.zip,13
HMMT February,2024,Algebra,problems,,,HMMT February 2024 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2024_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2024_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2024_Algebra_Problems.tex.zip,1
HMMT February,2024,Algebra,solutions,,,HMMT February 2024 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2024_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2024_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2024_Algebra_Solutions.tex.zip,6
HMMT February,2024,Combinatorics,problems,,,HMMT February 2024 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/comb/problems.pdf,hmmt_pdfs/HMMT_February_2024_Combinatorics_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2024_Combinatorics_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2024_Combinatorics_Problems.tex.zip,1
HMMT February,2024,Combinatorics,solutions,,,HMMT February 2024 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/comb/solutions.pdf,hmmt_pdfs/HMMT_February_2024_Combinatorics_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2024_Combinatorics_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2024_Combinatorics_Solutions.tex.zip,10
HMMT February,2024,Geometry,problems,,,HMMT February 2024 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/geo/problems.pdf,hmmt_pdfs/HMMT_February_2024_Geometry_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2024_Geometry_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2024_Geometry_Problems.tex.zip,1
HMMT February,2024,Geometry,solutions,,,HMMT February 2024 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/geo/solutions.pdf,hmmt_pdfs/HMMT_February_2024_Geometry_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2024_Geometry_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2024_Geometry_Solutions.tex.zip,9
HMMT February,2024,Guts,problems,,,HMMT February 2024 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2024_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2024_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2024_Guts_Problems.tex.zip,5
HMMT February,2024,Guts,solutions,,,HMMT February 2024 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2024_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2024_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2024_Guts_Solutions.tex.zip,23
HMMT February,2024,Team,problems,,,HMMT February 2024 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/team/problems.pdf,hmmt_pdfs/HMMT_February_2024_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2024_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2024_Team_Problems.tex.zip,1
HMMT February,2024,Team,solutions,,,HMMT February 2024 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/feb/team/solutions.pdf,hmmt_pdfs/HMMT_February_2024_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2024_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2024_Team_Solutions.tex.zip,14
HMMT February,2023,Algebra,problems,,,HMMT February 2023 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2023_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2023_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2023_Algebra_Problems.tex.zip,1
HMMT February,2023,Algebra,solutions,,,HMMT February 2023 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2023_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2023_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2023_Algebra_Solutions.tex.zip,7
HMMT February,2023,Combinatorics,problems,,,HMMT February 2023 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/comb/problems.pdf,hmmt_pdfs/HMMT_February_2023_Combinatorics_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2023_Combinatorics_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2023_Combinatorics_Problems.tex.zip,1
HMMT February,2023,Combinatorics,solutions,,,HMMT February 2023 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/comb/solutions.pdf,hmmt_pdfs/HMMT_February_2023_Combinatorics_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2023_Combinatorics_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2023_Combinatorics_Solutions.tex.zip,6
HMMT February,2023,Geometry,problems,,,HMMT February 2023 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/geo/problems.pdf,hmmt_pdfs/HMMT_February_2023_Geometry_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2023_Geometry_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2023_Geometry_Problems.tex.zip,1
HMMT February,2023,Geometry,solutions,,,HMMT February 2023 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/geo/solutions.pdf,hmmt_pdfs/HMMT_February_2023_Geometry_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2023_Geometry_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2023_Geometry_Solutions.tex.zip,5
HMMT February,2023,Guts,problems,,,HMMT February 2023 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2023_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2023_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2023_Guts_Problems.tex.zip,7
HMMT February,2023,Guts,solutions,,,HMMT February 2023 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2023_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2023_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2023_Guts_Solutions.tex.zip,17
HMMT February,2023,Team,problems,,,HMMT February 2023 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/team/problems.pdf,hmmt_pdfs/HMMT_February_2023_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2023_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2023_Team_Problems.tex.zip,1
HMMT February,2023,Team,solutions,,,HMMT February 2023 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/feb/team/solutions.pdf,hmmt_pdfs/HMMT_February_2023_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2023_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2023_Team_Solutions.tex.zip,10
HMMT February,2022,Algebra,problems,,,HMMT February 2022 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2022_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2022_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2022_Algebra_Problems.tex.zip,1
HMMT February,2022,Algebra,solutions,,,HMMT February 2022 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2022_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2022_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2022_Algebra_Solutions.tex.zip,6
HMMT February,2022,Combinatorics,problems,,,HMMT February 2022 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/comb/problems.pdf,hmmt_pdfs/HMMT_February_2022_Combinatorics_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2022_Combinatorics_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2022_Combinatorics_Problems.tex.zip,1
HMMT February,2022,Combinatorics,solutions,,,HMMT February 2022 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/comb/solutions.pdf,hmmt_pdfs/HMMT_February_2022_Combinatorics_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2022_Combinatorics_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2022_Combinatorics_Solutions.tex.zip,5
HMMT February,2022,Geometry,problems,,,HMMT February 2022 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/geo/problems.pdf,hmmt_pdfs/HMMT_February_2022_Geometry_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2022_Geometry_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2022_Geometry_Problems.tex.zip,2
HMMT February,2022,Geometry,solutions,,,HMMT February 2022 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/geo/solutions.pdf,hmmt_pdfs/HMMT_February_2022_Geometry_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2022_Geometry_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2022_Geometry_Solutions.tex.zip,5
HMMT February,2022,Guts,problems,,,HMMT February 2022 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2022_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2022_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2022_Guts_Problems.tex.zip,7
HMMT February,2022,Guts,solutions,,,HMMT February 2022 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2022_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2022_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2022_Guts_Solutions.tex.zip,15
HMMT February,2022,Team,problems,,,HMMT February 2022 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/team/problems.pdf,hmmt_pdfs/HMMT_February_2022_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2022_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2022_Team_Problems.tex.zip,1
HMMT February,2022,Team,solutions,,,HMMT February 2022 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/feb/team/solutions.pdf,hmmt_pdfs/HMMT_February_2022_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2022_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2022_Team_Solutions.tex.zip,7
HMMT February,2021,Algebra,problems,,,HMMT February 2021 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2021_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2021_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2021_Algebra_Problems.tex.zip,2
HMMT February,2021,Algebra,solutions,,,HMMT February 2021 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2021_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2021_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2021_Algebra_Solutions.tex.zip,6
HMMT February,2021,Combinatorics,problems,,,HMMT February 2021 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/feb/comb/problems.pdf,hmmt_pdfs/HMMT_February_2021_Combinatorics_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2021_Combinatorics_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2021_Combinatorics_Problems.tex.zip,1
HMMT February,2021,Combinatorics,solutions,,,HMMT February 2021 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/feb/comb/solutions.pdf,hmmt_pdfs/HMMT_February_2021_Combinatorics_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2021_Combinatorics_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2021_Combinatorics_Solutions.tex.zip,6
HMMT February,2021,Geometry,problems,,,HMMT February 2021 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/feb/geo/problems.pdf,hmmt_pdfs/HMMT_February_2021_Geometry_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2021_Geometry_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2021_Geometry_Problems.tex.zip,1
HMMT February,2021,Geometry,solutions,,,HMMT February 2021 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/feb/geo/solutions.pdf,hmmt_pdfs/HMMT_February_2021_Geometry_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2021_Geometry_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2021_Geometry_Solutions.tex.zip,6
HMMT February,2021,Guts,problems,,,HMMT February 2021 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2021_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2021_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2021_Guts_Problems.tex.zip,9
HMMT February,2021,Guts,solutions,,,HMMT February 2021 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2021_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2021_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2021_Guts_Solutions.tex.zip,16
