"problem","answer","solution","source","type","problem_type","reasonable_answer","aime_suitability","aime_answer","difficulty"
"Let $x$ and $y$ be complex numbers such that $x+y=\sqrt{20}$ and $x^{2}+y^{2}=15$. Compute $","√10","We have $(x-y)^{2}+(x+y)^{2}=2\left(x^{2}+y^{2}\right)$, so $(x-y)^{2}=10$, h","HMMT February 2016 Guts #1","algebra","numerical","True","4","10","1.0"
"Sherry is waiting for a train. Every minute, there is a $75 \%$ chance that a train will arrive. However, she is engrossed in her game of sudoku, so even if a train arrives she has a $75 \%$ chance of not noticing it (and hence missing the train). What is the probability that Sherry catches the train in the next five minutes?","1-(13/16)^5","During any given minute, the probability that Sherry doesn't catch the train is $\frac{1}{4}+\left(\frac{3}{4}\right)^{2}=\frac{13}{16}$. The desired probability is thus one minus the probability that she doesn't catch the train for the next five minutes: $1-\left","HMMT February 2016 Guts #2","misc","numerical","True","4","847","1.5"
"Consider a three-person game involving the following three types of fair six-sided dice.

- Dice of type $A$ have faces labelled 2, 2, 4, 4, 9, 9.
- Dice of type $B$ have faces labelled $1,1,6,6,8,8$.
- Dice of type $C$ have faces labelled 3, 3, 5, 5, 7, 7 .

All three players simultaneously choose a die (more than one person can choose the same type of die, and the players don't know one another's choices) and roll it. Then the score of a player $P$ is the number of players whose roll is less than $P$ 's roll (and hence is either 0,1 , or 2 ). Assuming all three players play optimally, what is the expected score of a particular player?","","Short version: third player doesn't matter; against 1 opponent, by symmetry, you'd both play the same strategy. Type A beats $\mathrm{B}, \mathrm{B}$ beats C , and C beats A all with probability $5 / 9$. It can be determined that choosing each die with probability $1 / 3$ is the best strategy. Then, whatever you pick, there is a $1 / 3$ of dominating, a $1 / 3$ chance of getting dominated, and a $1 / 3$ chance of picking the same die (which gives a $1 / 3 \cdot 2 / 3+1 / 3 \cdot 1 / 3=1 / 3$ chance of rolling a higher number). Fix your selection; then the expected payout is then $1 / 3 \cdot 5 / 9+1 / 3 \cdot 4 / 9+1 / 3 \cdot 1 / 3=1 / 3+1 / 9=4 / 9$. Against 2 players, you","HMMT February 2016 Guts #4","misc","numerical","True","4","3","2.0"
"Patrick and Anderson are having a snowball fight. Patrick throws a snowball at Anderson which is shaped like a sphere with a radius of 10 centimeters. Anderson catches the snowball and uses the snow from the snowball to construct snowballs with radii of 4 centimeters. Given that the total volume of the snowballs that Anderson constructs cannot exceed the volume of the snowball that Patrick threw, how many snowballs can Anderson construct?","15","\left(\frac{13}{16}\right)^{5}$
During any given minute, the probability that Sherry doesn't catch the train is $\frac{1}{4}+\left(\frac{3}{4}\right)^{2}=\frac{13}{16}$. The desired probability is thus one minus the probability that she doesn't catch the train for the next five minutes: $1-\left(\frac{13}{16}\right)^{5}$.
3. [5] Let $P R O B L E M Z$ be a regular octagon inscribed in a circle of unit radius. Diagonals $M R, O Z$ meet at $I$. Compute $L I$.
Proposed by: Evan Chen
Answer: $\sqrt{2}$
If $W$ is the center of the circle then $I$ is the incenter of $\triangle R W Z$. Moreover, $P R I Z$ is a rhombus. It follows that $P I$ is twice the inradius of a $1-1-\sqrt{2}$ triangle, hence the answer of $2-\sqrt{2}$. So $L I=\sqrt{2}$.
Alternatively, one can show (note, really) that the triangle $O I L$ is isosceles.
4. [5] Consider a three-person game involving the following three types of fair six-sided dice.

- Dice of type $A$ have faces labelled 2, 2, 4, 4, 9, 9.
- Dice of type $B$ have faces labelled $1,1,6,6,8,8$.
- Dice of type $C$ have faces labelled 3, 3, 5, 5, 7, 7 .

All three players simultaneously choose a die (more than one person can choose the same type of die, and the players don't know one another's choices) and roll it. Then the score of a player $P$ is the number of players whose roll is less than $P$ 's roll (and hence is either 0,1 , or 2 ). Assuming all three players play optimally, what is the expected score of a particular player?
Proposed by:
Answer:
Short version: third player doesn't matter; against 1 opponent, by symmetry, you'd both play the same strategy. Type A beats $\mathrm{B}, \mathrm{B}$ beats C , and C beats A all with probability $5 / 9$. It can be determined that choosing each die with probability $1 / 3$ is the best strategy. Then, whatever you pick, there is a $1 / 3$ of dominating, a $1 / 3$ chance of getting dominated, and a $1 / 3$ chance of picking the same die (which gives a $1 / 3 \cdot 2 / 3+1 / 3 \cdot 1 / 3=1 / 3$ chance of rolling a higher number). Fix your selection; then the expected payout is then $1 / 3 \cdot 5 / 9+1 / 3 \cdot 4 / 9+1 / 3 \cdot 1 / 3=1 / 3+1 / 9=4 / 9$. Against 2 players, your EV is just $E(p 1)+E(p 2)=2 E(p 1)=8 / 9$
5. [6] Patrick and Anderson are having a snowball fight. Patrick throws a snowball at Anderson which is shaped like a sphere with a radius of 10 centimeters. Anderson catches the snowball and uses the snow from the snowball to construct snowballs with radii of 4 centimeters. Given that the total volume of the snowballs that Anderson constructs cannot exceed the volume of the snowball that Patrick threw, how many snowballs can Anderson construct?
Proposed by:
Answer: 15

$$
\left\lfloor\left(\frac{10}{4}\right)^{3}\right\rfloor=\left\lfloor\frac{125}{8}\right\rfloor=15
$","HMMT February 2016 Guts #5","geometry","numerical","True","4","15","1.5"
"Consider a $2 \times n$ grid of points and a path consisting of $2 n-1$ straight line segments connecting all these $2 n$ points, starting from the bottom left corner and ending at the upper right corner. Such a path is called efficient if each point is only passed through once and no two line segments intersect. How many efficient paths are there when $n=2016$ ?","C(4030,2015)","The general answer is $\binom{2(n-1)}{n-1}$ : Simply note that the points in each column must be taken in order, and anything satisfying this avoids intersections, so just choose the steps during which to be in the first co","HMMT February 2016 Guts #6","counting","numerical","True","4","45","2.5"
"A contest has six problems worth seven points each. On any given problem, a contestant can score either 0,1 , or 7 points. How many possible total scores can a contestant achieve over all six problems?","28","For $0 \leq k \leq 6$, to obtain a score that is $k(\bmod 6)$ exactly $k$ problems must get a score of 1 . The remaining $6-k$ problems can generate any multiple of 7 from 0 to $7(6-k)$, of which there are $7-k$. So the total number of possible scores is $\sum_{k=0}^{6}(7-k)=2","HMMT February 2016 Guts #7","counting","numerical","True","4","28","2.0"
"For each positive integer $n$ and non-negative integer $k$, define $W(n, k)$ recursively by

$$
W(n, k)= \begin{cases}n^{n} & k=0 \\ W(W(n, k-1), k-1) & k>0\end{cases}
$$

Find the last three digits in the decimal representation of $W(555,2)$.","875","For any $n$, we have

$$
W(n, 1)=W(W(n, 0), 0)=\left(n^{n}\right)^{n^{n}}=n^{n^{n+1}}
$$

Thus,

$$
W(555,1)=555^{555^{556}}
$$

Let $N=W(555,1)$ for brevity, and note that $N \equiv 0(\bmod 125)$, and $N \equiv 3(\bmod 8)$. Then,

$$
W(555,2)=W(N, 1)=N^{N^{N+1}}
$$
is $0(\bmod 125)$ and $3(\bmod 8)$.
From this we can conclude (by the Chinese Remainder Theorem) that the answer is 875 .","HMMT February 2016 Guts #8","number_theory","numerical","True","4","875","3.0"
"Victor has a drawer with two red socks, two green socks, two blue socks, two magenta socks, two lavender socks, two neon socks, two mauve socks, two wisteria socks, and 2000 copper socks, for a total of 2016 socks. He repeatedly draws two socks at a time from the drawer at random, and stops if the socks are of the same color. However, Victor is red-green colorblind, so he also stops if he sees a red and green sock.
What is the probability that Victor stops with two socks of the same color?","1999008/1999012","There are $\binom{2000}{2}+8\binom{2}{2}=1999008$ ways to get socks which are matching colors, and four extra ways to get a red-green pair, hence the answer.","HMMT February 2016 Guts #9","counting","numerical","True","4","12","3.0"
"e a triangle with $A B=13, B C=14, C A=15$. Let $O$ be the circumcenter of $A B C$. Find the distance between the circumcenters of triangles $A O B$ and $A O","91/6","Let $S, T$ be the intersections of the tangents to the circumcircle of $A B C$ at $A, C$ and at $A, B$ respectively. Note that $A S C O$ is cyclic with diameter $S O$, so the circumcenter of $A O C$ is the midpoint of $O S$, and similarly for the other side. So the length we want is $\frac{1}{2} S T$. The circumradius $R$ of $A B C$ can be computed by Heron's formula and $K=\frac{a b c}{4 R}$, giving $R=\frac{65}{8}$. A few applications of the Pythagorean theorem and similar triangles gives $A T=\frac{65}{6}, A S=\frac{39}{2}$, so the answer is $\f","HMMT February 2016 Guts #10","geometry","numerical","True","4","97","3.0"
"Define $\phi^{!}(n)$ as the product of all positive integers less than or equal to $n$ and relatively prime to $n$. Compute the remainder when

$$
\sum_{\substack{2 \leq n \leq 50 \\ \operatorname{gcd}(n, 50)=1}} \phi^{!}(n)
$$
is divided by 50 .","12","First, $\phi^{!}(n)$ is even for all odd $n$, so it vanishes modulo 2 .
To compute the remainder modulo 25, we first evaluate $\phi^{!}(3)+\phi^{!}(7)+\phi^{!}(9) \equiv 2+5 \cdot 4+5 \cdot 3 \equiv 12 (\bmod 25)$. Now, for $n \geq 11$ the contribution modulo 25 vanishes as long as $5 \nmid n$.
We conclude the answe","HMMT February 2016 Guts #11","number_theory","numerical","True","4","12","3.5"
